Name,Position,College,RAS
Jerry Lovelocke,QB,Prairie View A&M,6.14
Anthony Jennings,QB,Louisiana,5.83
Ryan Aplin,QB,Arkansas State,6.01
Brian Lewerke,QB,Michigan State,5.94
Jerod Evans,QB,Virginia Tech,5.91
Gardner Minshew,QB,Washington State,5.93
Kyle Trask,QB,Florida,5.9
Nathan Stanley,QB,Iowa,5.93
Dan Persa,QB,Northwestern,5.93
Joe Germaine,QB,Ohio State,8.01
Tyler Thigpen,QB,Coastal Carolina,6.39
Chris Simms,QB,Texas,7.39
Brett Rypien,QB,Boise State,5.74
Wuinterris Toppings,QB,Alabama State,5.74
Kurt Benkert,QB,Virginia,5.82
Vernon Adams,QB,Oregon,5.87
Cody Carlson,QB,Baylor,6.92
David Washington,QB,Old Dominion,5.53
Trenton Norvell,QB,Western Illinois,5.67
Jake Browning,QB,Washington,5.7
Matt Gutierrez,QB,Idaho State,6.26
Justin Dunk,QB,International,5.73
Jim Druckenmiller,QB,Virginia Tech,8.32
Levi Brown,QB,Troy,5.96
J.T. Barrett,QB,Ohio State,5.72
Cole Johnson,QB,James Madison,5.69
Skyler Perry,QB,Arkansas Pine-Bluff,5.64
Tim Hasselbeck,QB,Boston College,7.57
Trevone Boykin,QB,Texas Christian,5.67
Delmon Williams,QB,Hampton,5.45
Romaro Miller,QB,Mississippi,6.99
James Vandenberg,QB,Iowa,5.81
Davis Cheek,QB,Elon,5.6
Rick Strom,QB,Georgia Tech,8.8
Sam Darnold,QB,Southern California,5.61
Dan Mcgwire,QB,San Diego State,7.3
Bryn Renner,QB,North Carolina,5.82
Mike Kafka,QB,Northwestern,6.1
Mike Cook,QB,William & Mary,7.91
Isaac Harker,QB,Indiana State,5.51
Anu Solomon,QB,Baylor,5.52
Eystin Salum,QB,Colorado Mesa,5.47
Eric Jones,QB,Vanderbilt,7
Max Wittek,QB,Hawaii,5.52
Alex Carder,QB,Western Michigan,5.36
Wes Lunt,QB,Illinois,5.4
Tyler Rogers,QB,New Mexico State,5.43
Jarrett Stidham,QB,Auburn,5.43
Ortege Jenkins,QB,Arizona,7.21
D'Eriq King,QB,Miami,5.43
Donald Hammond III,QB,Air Force,5.4
Chad Kanoff,QB,Princeton,5.75
DAngelo Fulford,QB,Mount Union,5.43
Spergon Wynn,QB,Texas State,7.55
Dalton Sturm,QB,UTSA,5.17
James Harris III,QB,Duquesne,5.23
Dresser Winn,QB,Tennessee-Martin,5.32
Cory Sauter,QB,Minnesota,9.02
Kevin Daft,QB,Cal-Davis,7.81
Sam Keller,QB,Nebraska,5.92
B.J. Coleman,QB,Chattanooga,5.56
Chris Pederson,QB,Iowa State,8.09
Dillon Buechel,QB,Duquesne,5.36
Samuel Caron,QB,Montreal,5.09
Collin Hill,QB,South Carolina,5.25
Landry Jones,QB,Oklahoma,5.29
Troy Cook,QB,Tennessee-Martin,5.2
Charlie Batch,QB,Eastern Michigan,8.32
Chuckie Keeton,QB,Utah State,5.16
Brendan Motley,QB,Virginia Tech,5.27
Brady White,QB,Memphis,5.12
Kyle Sloter,QB,Northern Colorado,5.33
Alex Brink,QB,Washington State,6.15
Tim Couch,QB,Kentucky,7.4
David Pindell,QB,Connecticut,5.12
Larry Brihm Jr.,QB,Bethune-Cookman,5.1
Matthew Stafford,QB,Georgia,6.03
Bob Jean,QB,New Hampshire,7.5
Tony Pike,QB,Cincinnati,5.86
Kent Myers,QB,Utah State,5.13
Matt Ryan,QB,Boston College,5.8
Brooks Bollinger,QB,Wisconsin,6.55
Robert Kent,QB,Jackson State,6.53
Jordan Yantz,QB,Manitoba,5.13
Hayden Moore,QB,Cincinnati,5.01
DeVante Kincade,QB,Grambling State,5.09
Eric Barriere,QB,Eastern Washington,5
Chris Rix,QB,Florida State,6.1
Kyle Quinlan,QB,McMaster,5.28
Brad Johnson,QB,Florida State,8.72
Jordan West,QB,Eastern Washington,4.96
Jevan Snead,QB,Mississippi,5.3
Kyle Vantrease,QB,Georgia Southern,4.92
Steve Cluley,QB,William & Mary,4.85
Tyler O'Connor,QB,Michigan State,4.88
Average QB,QB,College,4.89
K.J. Carta-Samuels,QB,Colorado State,4.84
Tony Banks,QB,Michigan State,7.55
James Pinkney,QB,East Carolina,5.83
Tyler Palko,QB,Pittsburgh,5.45
Matt Johns,QB,Virginia,4.73
Deshone Kizer,QB,Notre Dame,4.99
